date,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7
2017-03-04,0.570844336884448,0,0,0.242639063495584,0,0,0
2017-03-05,0.543029539935737,0,0,0.225072955411378,0,0,0
2017-03-06,0.374947060314449,0.0710254958203589,0,0.110611360086779,0,0,0
2017-03-07,0.385523551006059,0.639137219412904,0,0.0129240175607277,0,0,0
2017-03-08,0.504994726471478,0.216938804000044,0,0.129626694973082,0,0,0
2017-03-09,0.766476710626364,0,0,0.374610956777348,0,0,0
2017-03-10,0.543310794790244,0,0,0.18958507886462,0,0,0
2017-03-11,0.311255917389562,0,0,0.171862208617544,0,0,0
2017-03-12,0.451055932106386,0,0,0.168396329014227,0,0,0
2017-03-13,0.247842758913899,0.205990512443861,0,0.0646033745189444,0,0,0
2017-03-14,0.426661979085758,0.258868878030698,0,0.102463200965541,0,0,0
2017-03-15,0.539337252369,0,0,0.191495173075797,0,0,0
2017-03-16,0.559849234316363,0,0,0.332557100628627,0,0,0
2017-03-17,0.444943544628768,0,0,0.234370862652186,0,0,0
2017-03-18,0.205988112076789,0,0,0.087442003259362,0,0,0
2017-03-19,0.273257078383439,0,0,0.182219792247763,0,0,0
2017-03-20,0.37549975880761,0.22329211226727,0,0.095495180221494,0,0,0
2017-03-21,0.133156186380397,0.441631737928603,0,0.019970216331179,0,0,0
2017-03-22,0.545685109027136,0.471445952888696,0,0.0727452248214559,0,0,0
2017-03-23,0.650024119238977,0,0,0.279000860015932,0,0,0
2017-03-24,0.666690104571209,0.229586658509633,0,0.167948846675105,0,0,0
2017-03-25,0.370783834386676,0,0,0.221492934222287,0,0,0
2017-03-26,0.548085586506308,0.305511986440694,0,0.120355757135646,0,0,0
2017-03-27,0.20263594665969,0.26682265794614,0,0.0479832458310285,0,0,0
2017-03-28,0.580407001937715,0.554444234169002,0,0.0493475738755963,0,0,0
2017-03-29,0.563204670138747,0.264033972395662,0,0.13403100617067,0,0,0
2017-03-30,0.714977638603864,0.559172314175343,0,0.058771163062371,0,0,0
2017-03-31,0.562020783425586,0,0,0.25451924209562,0,0,0
2017-04-01,0.717799998364797,0,0,0.41882748712934,0,0,0
2017-04-02,0.347135533771023,0,0,0.13850171096735,0,0,0
2017-04-03,0.216512276283839,0.334595197642387,0,0.0445571781424915,0,0,0
2017-04-04,0.401015460840985,0.100446841122601,0,0.116337074056989,0,0,0
2017-04-05,0.594204841835024,0.687173924172695,0,0.00211138529676068,0,0,0
2017-04-06,0.509893793588371,0.462960348800447,0,0.0704135276428251,0,0,0
2017-04-07,0.796446704657875,0,0,0.37427635941444,0,0,0
2017-04-08,0.661905501639291,0,0,0.31397772047035,0,0,0
2017-04-09,0.330067288588738,0,0,0.10418618262389,0,0,0
2017-04-10,0.325645700643452,0.23671109735344,0,0.081131731263827,0,0,0
2017-04-11,0.484348657907431,0,0,0.158063453555437,0,0,0
2017-04-12,0.550858890187967,0.545233864065212,0,0.0498528894479605,0,0,0
2017-04-13,0.473657703030848,0,0,0.199040099253492,0,0,0
2017-04-14,0.709499709751531,0,0,0.550523140197642,0,0,0
2017-04-15,0.379780719325642,0,0,0.236137913086593,0,0,0
2017-04-16,0.0240685476947729,0,0,0.0158009113358042,0,0,0
2017-04-17,0.178225641612637,0,0,0.0784761704293924,0,0,0
2017-04-18,0.143503748702058,0,0,0.0652763775399887,0,0,0
2017-04-19,0.359680808444186,0,0,0.144386955510042,0,0,0
2017-04-20,0.345124234520763,0,0,0.254384967301416,0,0,0
2017-04-21,0.398569197687823,0,0,0.328381862271138,0,0,0
2017-04-22,0.0629176920749902,0,0,0.0523873932102143,0,0,0
2017-04-23,0,0,0,0,0,0,0
2017-04-24,0,0,0,0,0,0,0
2017-04-25,0.130595459042262,0,0,0.0640331929609126,0,0,0
2017-04-26,0.266137406078048,0,0,0.132390896810592,0,0,0
2017-04-27,0.309682852447489,0,0,0.245490295713883,0,0,0
2017-04-28,0.302546828115674,0,0,0.204439818335025,0,0,0
2017-04-29,0.00728482777228168,0,0,0.00691333485040941,0,0,0
2017-04-30,0.12427049522112,0,0,0.105992392212921,0,0,0
2017-05-01,0,0,0,0,0,0,0
2017-05-02,0,0,0,0,0,0,0
2017-05-03,0.375005927609579,0,0,0.201371643234402,0,0,0
2017-05-04,0.0973452485099217,0,0,0.0456976444545763,0,0,0
2017-05-05,0.263017439436182,0,0,0.154477290868815,0,0,0
2017-05-06,0.33056111978677,0,0,0.18661788572063,0,0,0
2017-05-07,0.212672820479278,0,0,0.0949807259588091,0,0,0
2017-05-08,0.235451193289128,0,0,0.086972697365581,0,0,0
2017-05-09,0.353395089486465,0.199453773262847,0,0.0929294238781886,0,0,0
2017-05-10,0.430612628670008,0,0,0.195075347291479,0,0,0
2017-05-11,0.537038157453663,0,0,0.258151887485272,0,0,0
2017-05-12,0.346981824722629,0,0,0.304665072150924,0,0,0
2017-05-13,0.319304384795886,0,0,0.301384973327891,0,0,0
2017-05-14,0,0,0,0,0,0,0
