measure,mean,std
rmse_sales_only,634.2872860899352,
rmse_target_weather,710.5625923778624,
rmse_improvement_pct,-12.025356326803664,
mae_sales_only,511.08666568465975,
mae_target_weather,577.2159732001337,
mae_improvement_pct,-12.938961619530044,
mase_sales_only,0.8636724224268456,
mase_target_weather,0.9754226656831205,
mase_improvement_pct,-12.93896161953004,
smape_sales_only,11.366455793055055,
smape_target_weather,12.982953813909262,
smape_improvement_pct,-14.221654051933175,
rmse_norm_sales_only,0.1728647077184114,
rmse_norm_target_weather,0.19365230478483797,
rmse_norm_improvement_pct,-12.025356326803626,
mae_norm_sales_only,0.1392883777112777,
mae_norm_target_weather,0.15731084744380586,
mae_norm_improvement_pct,-12.938961619529973,
