date,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12,rule_13,rule_14,rule_15,rule_16,rule_17,rule_18,rule_19,rule_20,rule_21,rule_22,rule_23,rule_24,rule_25,rule_26,rule_27,rule_28,rule_29,rule_30,rule_31,rule_32,rule_33,rule_34,rule_35,rule_36,rule_37,rule_38,rule_39,rule_40,rule_41,rule_42,rule_43,rule_44,rule_45,rule_46,rule_47,rule_48,rule_49,rule_50,rule_51,rule_52,rule_53,rule_54,rule_55,rule_56,rule_57,rule_58,rule_59,rule_60
2017-03-04,0,0.102074920443232,0.309985337633283,0,0,0.0919922875795411,0,0,0,0,0.129240698501319,0,0,0.332527365653699,0,0,0.140055175676764,0.00904755058311689,0,0.18057218238697,0,0.00339235249418596,0.00376003889790997,0.0413947795375408,0.0125179460771688,0,0.0285162603250021,0,0,0.0499545296019542,0.0857237273573682,0,0,0,0,0,0,0.142670680618744,0,0,0,0,0,0,0.0193593877105994,0,0,0,0,0,0.157861996545368,0.0554296970872653,0.0726559477390692,0,0,0,0,0,0.0543188425688481,0.00250778566258036
2017-03-05,0,0,0.203607329662812,0,0,0.291652709130247,0,0,0,0,0,0,0,0.234632674075934,0,0,0.410807682297781,0,0,0.08797483139849,0,0,0.0063828567080339,0.0963503185887472,0,0,0.0593826292949345,0,0,0.109354325921131,0.0593826292949345,0,0,0,0,0,0,0.21415089149847,0,0,0,0,0,0,0.00885473089810461,0,0,0,0,0,0.158376036460009,0,0.166577349921896,0,0,0,0,0,0,0
2017-03-06,0,0,0.144550922131709,0,0,0.392376433488458,0,0,0,0,0,0,0,0.24203817741382,0,0,0.291330547748749,0,0,0.0933114176356102,0,0,0.00812523212982304,0.163867918673137,0,0,0.056718375283508,0,0,0.151270355969563,0.056718375283508,0,0,0,0,0,0,0.320293969707853,0,0,0,0,0,0,0.0033259504207296,0,0,0,0,0,0.147120390273166,0,0.325987362312537,0,0,0,0,0,0,0
2017-03-07,0,0,0.194687360188617,0,0,0.569382699322442,0,0,0,0,0,0,0,0.187146774915089,0,0,0.286388923604501,0,0,0.0945081344082645,0,0,0.0154770412469073,0.209308420988565,0,0,0.110851614668156,0,0,0.287535260501929,0.110851614668156,0,0,0,0,0,0,0.329999265400288,0,0,0,0,0,0,0.0111249920107781,0,0,0,0,0,0.219510440124203,0,0.372074920110381,0,0,0,0,0,0,0
2017-03-08,0,0,0.387066696829519,0,0,0.302220922512905,0,0,0,0,0,0,0,0.240416437922566,0,0,0.280907306760367,0,0,0.184273600519396,0,0,0.0615405605724564,0.226114671671572,0,0,0.11697965418984,0,0,0.231645298570156,0.11697965418984,0,0,0,0,0,0,0.655994330103324,0,0,0,0,0,0,0.0943444489870181,0,0,0,0,0,0.152619972098362,0,0.258657841599711,0,0,0,0,0,0,0
2017-03-09,0,0,0.416435070838622,0,0,0.248453838482642,0,0,0,0,0,0,0,0.367758447883858,0,0,0.61182477255308,0,0,0.199807134610606,0,0,3.56643060888593e-05,0.0182135649935733,0,0,0.103464891828647,0,0,0.134987652454691,0.103464891828647,0,0,0,0,0,0,0.326575751055047,0,0,0,0,0,0,0.000737053222723249,0,0,0,0,0,0.190434080862669,0,0.149341775799436,0,0,0,0,0,0,0
2017-03-10,0,0,0.16910869986009,0,0,0.223782907121559,0,0,0,0,0,0,0,0.177481575963059,0,0,0.269553420040175,0,0,0.0552421907461271,0,0,0.0196148061163663,0.0640146591196786,0,0,0.0378436364742381,0,0,0.069653754052224,0.0472322513305569,0,0,0,0,0,0,0.131563214813622,0,0,0,0,0,0,0.0305721164095991,0,0,0,0,0,0.151747320104574,0,0.118056405665864,0,0,0,0,0,0,0
2017-03-11,0,0.0250183474728032,0.140393827941778,0,0,0.115973964628297,0,0,0,0,0.0335714108134544,0,0,0.174949783634449,0,0,0.145647114775,0.00115389607134169,0,0.0789121377290468,0,0.000285984785821234,0.0103414188983885,0.136769548967291,0.0027627278489633,0,0.0162820288357509,0,0,0.0523107447154897,0.0262440596365722,0,0,0,0,0,0,0.208543630547812,0,0,0,0,0,0,0.00642510312451625,0,0,0,0,0,0.0581836037806112,0.0112846740391067,0.086427018542411,0,0,0,0,0,0.00624900457416011,0.000995580602337496
2017-03-12,0,0.0548431466886809,0.111790946637727,0,0,0.0307964548254035,0,0,0,0,0.171757409126915,0,0,0.0854680676782035,0,0,0.0325572099642199,0.015665603762308,0,0.0211826416924058,0,0.00668391750479964,0.00279955144565198,0.0105191884191963,0.0110897976859991,0,0.00344276483801785,0,0,0.00763267832869526,0.0283046102454488,0,0,0,0,0,0,0.00962572165692462,0,0,0,0,0,0,0.0230930982055684,0,0,0,0,0,0.114203902383454,0.0135924767828423,0.00983348839544338,0,0,0,0,0,0.032356051078926,0.0208631685636251
2017-03-13,0,0,0.105745082020278,0,0,0.284055498529615,0,0,0,0,0,0,0,0.0277487974793048,0,0,0.130532608550607,0,0,0.0118393568497701,0,0,0.0320824206192658,0.235584501248328,0,0,0.0300374719903252,0,0,0.121195681172837,0.0300374719903252,0,0,0,0,0,0,0.0907003773327643,0,0,0,0,0,0,0.0289027645167942,0,0,0,0,0,0.0704010984402426,0,0.0603848999043433,0,0,0,0,0,0,0
